MACRO,FORMULA,DESCRIPTION,PARAMETERS,RESULT_TYPE
#500,"#501 * 2",直径计算,长度,number
#501,"#500 / 2",长度计算,直径,number
#502,"#500 * 0.1",厚度计算,直径,number
#507,"#500 * 0.36",角度计算,直径,number
#508,"#500 * 10",速度计算,直径,number
#509,"#508 * 0.02",温度计算,速度,number
#514,"#508 * 0.01",压力计算,速度,number
#515,"#514 * 10",流量计算,压力,number
#516,"#508 * 0.005",振动计算,速度,number
#506,"#500 * 0.05",修正参数计算,直径,number
#513,"#500 * 0.02",补偿参数计算,直径,number
#520,"#500 * 0.01",偏移参数计算,直径,number
#500,"sqrt(#501^2 + #502^2)",直径综合计算,长度,厚度,number
#501,"#500 * #507 / 360",长度角度计算,直径,角度,number
#502,"#500 * #514 / 100",厚度压力计算,直径,压力,number
#507,"atan(#501 / #500) * 180 / pi",角度三角函数计算,长度,直径,number
#508,"#500 * #514 * 0.1",速度综合计算,直径,压力,number
#509,"#508^2 * 0.0001",温度平方计算,速度,number
#514,"#500 * #515 / 1000",压力流量计算,直径,流量,number
#515,"#500 * #508 / 100",流量综合计算,直径,速度,number
#516,"#508 * #514 * 0.001",振动综合计算,速度,压力,number
