MACRO,KIND,DESCRIPTION,MIN_VALUE,MAX_VALUE,DEFAULT_VALUE,UNIT,PRECISION,REQUIRED
#500,load,直径参数,0,1000,0,mm,2,1
#501,input,长度参数,0,5000,0,mm,1,1
#502,measure,厚度参数,0,100,0,mm,3,1
#503,select,材料类型,,,,,1
#504,relation,关系验证,,,,,1
#505,switch,自动计算,,,,,1
#506,correct,修正参数,0,50,0,mm,2,0
#507,load,角度参数,0,360,0,°,1,1
#508,input,速度参数,0,10000,0,rpm,0,1
#509,measure,温度参数,-50,200,0,℃,1,0
#510,select,刀具类型,,,,,1
#511,relation,公差验证,,,,,1
#512,switch,冷却液,,,,,1
#513,correct,补偿参数,-10,10,0,mm,3,0
#514,load,压力参数,0,100,0,MPa,2,1
#515,input,流量参数,0,1000,0,L/min,1,1
#516,measure,振动参数,0,100,0,mm/s,2,0
#517,select,加工模式,,,,,1
#518,relation,质量验证,,,,,1
#519,switch,自动送料,,,,,1
#520,correct,偏移参数,-5,5,0,mm,2,0
