MACRO1,OPERATOR,MACRO2,VALUE,DESCRIPTION,ERROR_MESSAGE
#500,>,#501,0,直径必须大于长度,直径必须大于长度
#501,<,#500,0,长度必须小于直径,长度必须小于直径
#502,>,0,0,厚度必须大于0,厚度必须大于0
#507,>=,0,0,角度必须大于等于0,角度必须大于等于0
#507,<=,360,0,角度必须小于等于360,角度必须小于等于360
#508,>,0,0,速度必须大于0,速度必须大于0
#508,<=,10000,0,速度必须小于等于10000,速度必须小于等于10000
#509,>=,-50,0,温度必须大于等于-50,温度必须大于等于-50
#509,<=,200,0,温度必须小于等于200,温度必须小于等于200
#514,>,0,0,压力必须大于0,压力必须大于0
#514,<=,100,0,压力必须小于等于100,压力必须小于等于100
#515,>,0,0,流量必须大于0,流量必须大于0
#515,<=,1000,0,流量必须小于等于1000,流量必须小于等于1000
#516,>=,0,0,振动必须大于等于0,振动必须大于等于0
#516,<=,100,0,振动必须小于等于100,振动必须小于等于100
#500,/,#501,2,直径长度比必须大于2,直径长度比必须大于2
#508,*,#514,100000,速度压力乘积必须小于100000,速度压力乘积必须小于100000
#509,+,#516,250,温度振动和必须小于250,温度振动和必须小于250
#500,==,#501,0,直径不能等于长度,直径不能等于长度
#507,!=,180,0,角度不能等于180,角度不能等于180
